stockSymbol, buyingPrice, buyingDate, sellingPrice, sellingDate, quantity, PnL, ReturnOnEquity, isTradeActive
ACC,1096.6,2013-11-29 05:30:00.0,1351.15,2014-04-03 05:30:00.0,9.119096,2321.2666,23.212666,false
ACC,1480.4,2015-07-03 05:30:00.0,1786.05,2017-09-20 05:30:00.0,6.754931,2064.6445,20.646446,false
ACC,1475.5,2018-07-24 05:30:00.0,1143.3,2020-03-12 05:30:00.0,6.777364,-2251.4395,-22.514393,false
ACC,1207.95,2020-05-13 05:30:00.0,1664.75,2020-11-25 05:30:00.0,8.278489,3781.6143,37.81614,false
ABBOTINDIA,1364.15,2013-11-03 05:30:00.0,1649.65,2014-01-02 05:30:00.0,7.330572,2092.879,20.92879,false
ABBOTINDIA,4751.7,2016-05-27 05:30:00.0,6171.75,2018-04-18 05:30:00.0,2.1045098,2988.5088,29.885088,false
ABBOTINDIA,7401.7,2019-05-17 05:30:00.0,11480.45,2019-11-06 05:30:00.0,1.351041,5510.5586,55.105587,false
ADANIPORTS,228.25,2016-03-08 05:30:00.0,171.55,2016-05-19 05:30:00.0,43.81161,-2484.1182,-24.84118,false
ADANIPORTS,213.25,2016-07-04 05:30:00.0,261.75,2016-08-25 05:30:00.0,46.89332,2274.3262,22.743263,false
ADANIPORTS,392.15,2018-05-31 05:30:00.0,301.8,2018-10-05 05:30:00.0,25.500446,-2303.9658,-23.039658,false
ADANIPORTS,346.2,2018-11-15 05:30:00.0,261.4,2020-03-16 05:30:00.0,28.885036,-2449.4517,-24.494516,false
ADANIPORTS,309.35,2020-05-13 05:30:00.0,375.85,2020-11-20 05:30:00.0,32.325844,2149.669,21.496689,false
ADANITRANS,32.15,2016-06-07 05:30:00.0,38.95,2016-07-28 05:30:00.0,311.04196,2115.085,21.15085,false
ADANITRANS,164.0,2018-06-22 05:30:00.0,217.95,2018-09-03 05:30:00.0,60.97561,3289.6338,32.896336,false
ADANITRANS,210.2,2019-01-28 05:30:00.0,286.85,2019-11-08 05:30:00.0,47.57374,3646.5273,36.465275,false
ADANITRANS,197.8,2020-06-10 05:30:00.0,254.8,2020-07-07 05:30:00.0,50.556118,2881.6992,28.816994,false
AMBUJACEM,169.5,2014-03-05 05:30:00.0,200.1,2014-04-28 05:30:00.0,58.99705,1805.3105,18.053106,false
